date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-08-21,2,bear,0.9999976000180291,8.414312924989916e-07,1.5585505938811625e-06,0.9999976000180291,2.441149678564565e-228
2025-08-22,2,bear,0.9999991972602895,2.7975319775126614e-07,5.229866020894195e-07,0.9999991972602895,8.66645353299604e-285
2025-08-23,2,bear,0.9999995068168425,1.9593243691471165e-07,2.9725077574962336e-07,0.9999995068168425,6.4e-323
2025-08-24,2,bear,0.9999998779203526,9.637914534444578e-08,2.5700498482228422e-08,0.9999998779203526,5.47985325068941e-203
2025-08-25,2,bear,0.999999496909949,4.210284442142964e-08,4.609872356824296e-07,0.999999496909949,5.075677368080581e-242
2025-08-26,2,bear,0.9999985717234917,7.38247511804165e-08,1.354451718297761e-06,0.9999985717234917,1.7943389799124884e-211
2025-08-27,2,bear,0.9999974687020973,7.021857977164549e-08,2.461079294788623e-06,0.9999974687020973,5.4589774517622225e-233
2025-08-28,2,bear,0.9999994389126396,1.8813369780353523e-07,3.729537189839476e-07,0.9999994389126396,8.880254364989223e-279
2025-08-29,2,bear,0.9999998130833948,1.3591528662928583e-07,5.100121242083661e-08,0.9999998130833948,0.0
2025-08-30,2,bear,0.9999989402639289,1.0251845315148671e-06,3.4551434221709526e-08,0.9999989402639289,2.7237565269837e-311
2025-08-31,2,bear,0.999999666034056,1.666004138648675e-07,1.673655434151139e-07,0.999999666034056,0.0
2025-09-01,2,bear,0.999965894294055,2.3711983546640988e-07,3.386858619683343e-05,0.999965894294055,3.080936391555432e-199
2025-09-02,2,bear,0.9858139517116563,5.428025734075129e-08,0.014185994008196702,0.9858139517116563,1.0112914021510173e-256
2025-09-03,2,bear,0.9340977397710234,1.2312099423471805e-09,0.06590225899785292,0.9340977397710234,8.109454858605465e-266
2025-09-04,1,high-volatility,0.9995556432639225,8.549815318312402e-14,0.9995556432639225,0.0004443567360433258,7.280887200299575e-134
2025-09-05,1,high-volatility,0.9999999999993179,7.86750248692146e-17,0.9999999999993179,5.725178531712038e-13,1.1739651853589145e-155
2025-09-06,1,high-volatility,0.9999999999527063,7.652018915811955e-20,0.9999999999527063,4.722996825781358e-11,2.4366944072695948e-191
2025-09-07,1,high-volatility,0.9999999999995453,9.008515394422133e-22,0.9999999999995453,5.65636152305676e-13,4.682101620812286e-130
2025-09-08,1,high-volatility,0.9999999996284714,1.061221244455336e-25,0.9999999996284714,3.715273441274413e-10,1.025996086545191e-167
2025-09-09,1,high-volatility,0.9999999999993179,8.40115588141843e-24,0.9999999999993179,7.815306898762356e-13,1.0916382587928223e-136
2025-09-10,1,high-volatility,0.9999999999974989,3.512434694668788e-26,0.9999999999974989,2.5172261819168923e-12,1.5394888006174894e-90
2025-09-11,1,high-volatility,0.9999999999979536,7.670967667964725e-26,0.9999999999979536,2.053969612883791e-12,1.0944594151985295e-84
2025-09-12,1,high-volatility,0.9999999999995453,5.480469299988793e-26,0.9999999999995453,4.555823203204477e-13,1.1057385853145014e-72
2025-09-13,1,high-volatility,1.0,2.249350210817677e-26,1.0,5.596824718751136e-14,1.005807118956125e-44
2025-09-14,1,high-volatility,1.0,2.94531626172881e-27,1.0,5.4193012989579293e-14,1.0869561266172328e-48
2025-09-15,1,high-volatility,0.9999999999988631,4.425562679871079e-27,0.9999999999988631,1.0725470020670567e-12,9.047605076865885e-39
2025-09-16,1,high-volatility,0.9999999999997726,3.380632069377043e-26,0.9999999999997726,1.646904485011745e-13,1.1183110729718253e-41
2025-09-17,1,high-volatility,1.0,1.6540726811933366e-27,1.0,3.4317108252674942e-15,7.717695884363137e-54
2025-09-18,1,high-volatility,1.0,1.495915699321259e-28,1.0,1.2109324714775035e-14,1.033368015540722e-61
2025-09-19,1,high-volatility,0.9999999999993179,6.65294993599351e-28,0.9999999999993179,6.646122325507863e-13,1.4989525102784833e-52
2025-09-20,1,high-volatility,0.9999999999758984,7.542132069152013e-26,0.9999999999758984,2.4070089166986075e-11,7.436643117483266e-39
2025-09-21,1,high-volatility,1.0,9.148369233435843e-25,1.0,2.501246753761205e-14,1.4621554367016992e-79
2025-09-22,1,high-volatility,1.0,1.0457941727937127e-29,1.0,3.567760259018616e-20,7.787770573892159e-120
2025-09-23,1,high-volatility,0.9999999999868123,2.496787272006554e-26,0.9999999999868123,1.3238008930278223e-11,1.2752786351781774e-38
2025-09-24,1,high-volatility,0.9999998297487455,5.242160372612378e-22,0.9999998297487455,1.7025117093095918e-07,1.9763019421039004e-56
2025-09-25,1,high-volatility,1.0,8.40436560701354e-27,1.0,6.921088183576399e-17,1.0615688715359674e-105
2025-09-26,1,high-volatility,1.0,2.03970011071664e-34,1.0,8.050170365800953e-20,3.880401614951858e-127
2025-09-27,1,high-volatility,0.999999997642135,2.5107395672692926e-29,0.999999997642135,2.357809925793342e-09,3.415021041661478e-137
2025-09-28,1,high-volatility,0.9999999994604423,3.320030889043854e-23,0.9999999994604423,5.396666333441939e-10,1.6037617264835767e-118
2025-09-29,1,high-volatility,0.9999999999040483,2.3160189308406333e-24,0.9999999999040483,9.588487948141055e-11,3.0326104579930637e-148
2025-09-30,1,high-volatility,0.999999999986585,3.0501561556989826e-25,0.999999999986585,1.3385663590824484e-11,1.1083020771455422e-143
2025-10-01,1,high-volatility,0.9999999999979536,8.725458636691295e-26,0.9999999999979536,1.961953901405257e-12,9.229196043901063e-169
2025-10-02,1,high-volatility,1.0,3.8609278222839315e-26,1.0,9.386678255750492e-14,1.2419969799239691e-116
