Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Crude_Oil,1866,D6+D8+D10,3,0.1,1.149,2.06,34.5,34.5,29
Crude_Oil,1866,D3+D6,2,0.1,1.11,2.78,33.3,33.3,39
Crude_Oil,1866,D2+D5+D7+D8,4,0.05,1.061,8.12,38.1,38.1,84
Crude_Oil,1866,D5+D7+D8,3,0.05,1.057,8.03,35.6,35.6,87
Crude_Oil,1866,D5+D6+D8,3,0.05,1.037,7.45,32.6,32.6,89
Crude_Oil,1866,D2+D4,2,0.1,1.033,4.87,37.7,37.7,69
Crude_Oil,1866,D2+D3+D4,3,0.1,1.033,4.87,37.7,37.7,69
Crude_Oil,1866,D6+D7+D8+D10,4,0.1,0.99,2.56,40.0,40.0,30
Crude_Oil,1866,D5+D8,2,0.05,0.958,6.38,34.1,34.1,82
Crude_Oil,1866,D6+D7+D9+D10,4,0.1,0.908,1.53,33.3,33.3,27
Crude_Oil,1866,D3+D4+D9+D10,4,0.1,0.9,0.25,20.0,20.0,5
